as_of_date,overall_rank,research_priority,symbol,name,exchange,board,listing_status,industry_name,primary_sleeve,sleeves,sleeve_count,primary_sleeve_rank,primary_sleeve_rank_percentile,best_sleeve_score,normalized_primary_score,cross_sleeve_bonus,aggregate_score,score_basis,investability_status,factor_record_quality,confidence_grade,event_flag_count,avg_turnover_cny_20d,return_20d,return_60d,return_120d,return_250d,distance_52w_high,volatility_60d,max_drawdown_120d,screen_row_hash,next_workflow,authority,longlist_row_hash
2026-07-17,1,A_IMMEDIATE_RESEARCH,600900.SH,XD长江电,SH,SH_MAIN,ACTIVE,,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY|RECOVERY_WATCH|LIQUID_BREAKOUT,3,1,1.0,0.94381219,0.98314366,0.04,1.02314366,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,3725003543.35,0.08027788498649158,0.07282483710233811,0.08236658932714613,-0.01685985247629085,-0.028125000000000067,0.1563138904509348,-0.0727537286285922,43f6476180ee04d7654460d1ff0fadd89c6d97dbf39da8911c4633dfedf25cbf,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,807a0ddd92c184380d396f211ea0a856a02e7d2e1f11ba96e740a7eac8e3243d
2026-07-17,2,A_IMMEDIATE_RESEARCH,688498.SH,源杰科技,SH,STAR,ACTIVE,,TREND_PERSISTENCE,TREND_PERSISTENCE,1,1,1.0,0.98586989,0.99576097,0.0,0.99576097,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,8315371049.0,-0.010374336663957484,0.7295039164490862,2.1250000000000004,11.642186426444766,-0.12195121951219512,0.8858225807061112,-0.15683987274655353,b3b67384e7eb5c7e5135eec7831d3b1f5102bb17e84b99e609a666a06a8b710c,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,86cac5fcb4ab3019598f8ae08461d55e96f5d6b5d28534d2e6437dc4ca887283
2026-07-17,3,A_IMMEDIATE_RESEARCH,000779.SZ,甘咨询,SZ,SZ_MAIN,ACTIVE,M 科研服务,RECOVERY_WATCH,RECOVERY_WATCH|LIQUID_BREAKOUT,2,1,1.0,0.88529524,0.96558857,0.02,0.98558857,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,406872581.65,0.5945241199478488,0.4009163802978235,0.4237485448195577,0.3038379530916844,0.0,0.4209311327205829,-0.3259052924791086,28e7db89da9a57c2b38b90af48b6a71d1dadfff861e9f8ad96ae907a275497a0,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,2a823ee72f8b00a16a2470d714fb4f46850f883cd55961bcf324c839e823cca1
2026-07-17,4,A_IMMEDIATE_RESEARCH,603823.SH,百合花,SH,SH_MAIN,ACTIVE,,LIQUID_BREAKOUT,LIQUID_BREAKOUT,1,1,1.0,0.93789411,0.98136823,0.0,0.98136823,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,1463481254.9,0.5024619995718262,3.3617153511497833,3.0849825378346916,4.002138275124733,-0.031331953071083496,0.8057748767720395,-0.2460438999489536,efe543c7a9aba547dc175806af42e274dad7a2878cc975618fad956761bb6e4b,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,416388e55a3eb04c58216b3a1d4d9c6f17cf2a6034d2d15c90fe681a0a7fb56b
2026-07-17,5,A_IMMEDIATE_RESEARCH,300308.SZ,中际旭创,SZ,CHINEXT,ACTIVE,C 制造业,TREND_PERSISTENCE,TREND_PERSISTENCE,1,2,0.975,0.96374112,0.97162234,0.0,0.97162234,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,39585454065.5,-0.28395765710442444,0.15366313309776203,0.5689434228230923,6.263329625509827,-0.291442709049214,0.6823603676893768,-0.291442709049214,b15c003e1f77bffeeab77ea4d4a501ef7d881479aad968531776ae750978d736,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,883a03a2805f47343fa6b242d00a9c758231882d2270f9d6df1d30c8fdc10024
2026-07-17,6,A_IMMEDIATE_RESEARCH,601818.SH,光大银行,SH,SH_MAIN,ACTIVE,,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,1,2,0.975,0.94351051,0.96555315,0.0,0.96555315,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,674919360.35,0.016233766233766156,-0.01572327044025168,-0.042813455657492394,-0.2582938388625592,-0.2582938388625592,0.1567169467592192,-0.13731343283582087,31db70adbda98a1be8ec10e981168dd227853b05320418ae6e266dc94ce621d0,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,f30b543045e448b814322713ae7f6635d0e216bb4b059022c7251bc914b712a6
2026-07-17,7,A_IMMEDIATE_RESEARCH,000938.SZ,紫光股份,SZ,SZ_MAIN,ACTIVE,C 制造业,LIQUID_BREAKOUT,LIQUID_BREAKOUT,1,2,0.975,0.93431117,0.96279335,0.0,0.96279335,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,10150696321.6,0.27978142076502754,0.23959068454481303,0.3098434004474273,0.5064322469982849,-0.08966053381705108,0.7208103692828333,-0.23972188633615477,dd393f62f3fc262353085447b933bbe82ee903f66719de30b5ad957f6a2aa163,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,d2ccd88cc0b31591cc8065e6b33cf38371341844346c279322b0603109488c21
2026-07-17,8,A_IMMEDIATE_RESEARCH,603268.SH,松发股份,SH,SH_MAIN,ACTIVE,,TREND_PERSISTENCE,TREND_PERSISTENCE,1,3,0.95,0.96150222,0.95345067,0.0,0.95345067,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,1604520822.45,-0.03622693096377316,0.0574471276436177,0.5986394557823129,2.507462686567164,-0.15956368838290524,0.5676906860132945,-0.21068572813181485,91ccd77dc1744051c69ca6cdc9b482ff196d576046a1c78732ad214035b725af,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,bd6f5fd2efa0aeb0ed71ca961942462b97ca97ba1723911570240ad2aef5f80b
2026-07-17,9,A_IMMEDIATE_RESEARCH,000333.SZ,美的集团,SZ,SZ_MAIN,ACTIVE,C 制造业,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY|LIQUID_BREAKOUT,2,4,0.925,0.9390953,0.92922859,0.02,0.94922859,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,3415519476.2,0.11318977119784646,0.09101701622477232,0.12438825448613366,0.20428072218986593,0.0,0.21820942252246636,-0.10386221294363251,25198afdf095d5493b2556859c03683b46bb4c9ec64b3ba12cc261a5134d4d62,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,4eb1fbd521a4b2bb0c8abae13b0207236a00d42ef1c00d8c38e84c9dae057ca3
2026-07-17,10,A_IMMEDIATE_RESEARCH,002936.SZ,郑州银行,SZ,SZ_MAIN,ACTIVE,J 金融业,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,1,3,0.95,0.93935315,0.94680595,0.0,0.94680595,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,141765021.6,0.023391812865497075,-0.03846153846153855,-0.08854166666666663,-0.18604651162790697,-0.2256637168141592,0.16875628076819682,-0.15384615384615385,b004557851c632c113f6f1efe9e627b831a11c1bdf7fea5c0a8d4e418f9a0c5a,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,6f3593a99b0a7c3c4b2cfe44ff555f62c7509790885219389589edb06122137b
